genotype,plant_id,spp,nTreatment,temp,phoper,aamb,amax,Carbon,ce,co2comp,co2sat,dr,D13C,lcp,LMA,lsp,jmax,Nitrogen,netqe,pnue,SLA,vcmax
cs2,cs2h,cs,high,25,10,9.61610935,19.45928643,48.38861667,0.049935913,47.24019636,436.9254028,-1.137314985,-30.0235929,28.9679987,0.007912932,278.1156719,92.7381822,2.399100773,0.038596023,50.6539668,126.3754045,41.9241478
cs11,cs11m,cs,med,25,10,6.920521365,14.46459811,48.64716823,0.027819725,64.90525991,584.8456367,-0.128650609,-29.51516119,3.638072834,0.007298701,219.951396,73.4038774,2.389999223,0.031993043,42.53749741,137.0106762,38.1172651
cs2,cs2m,cs,med,25,10,8.016374642,17.19905623,47.5825983,0.055285789,48.65223652,359.7458575,-0.987082886,-30.43570401,24.57226998,0.009776692,247.8703124,83.4158984,2.016247188,0.035899888,40.66701406,102.2840828,42.4787449
cs4,cs4m,cs,med,25,10,9.341950062,20.74336438,48.92855971,0.065352012,47.63168531,365.0414161,-0.973756881,-28.41100339,21.13239255,0.007561462,253.3850091,97.6102493,2.623121032,0.040223228,39.90278779,132.2495606,45.5223852
cs1,cs1m,cs,med,25,10,9.344402247,15.65323463,47.98033734,0.058165991,47.96997549,317.0831523,-0.804272227,-29.18394844,18.71854318,0.006883721,273.9196598,63.6699005,2.000649094,0.036615836,67.85117112,145.2702703,33.3655291
cs22,cs22m,cs,med,25,10,11.16472859,17.1757693,50.08867871,0.082329524,57.6009329,266.2231682,-0.60023091,-28.85199084,14.59761256,0.008630137,321.1223996,79.429385,2.727284282,0.036423575,95.63150967,115.8730159,40.7328431
cs3,cs3m,cs,med,25,10,12.4720021,13.30279879,47.43156565,0.036958961,47.73672492,407.671056,0.610115361,-30.24104993,16.53177822,0.006553007,263.2497554,59.2460602,1.830215025,0.036231114,61.43619572,152.6017029,26.0129244
cs11,cs11l,cs,low,25,10,6.96890792,11.10796178,46.12882421,0.029061191,62.02577998,444.2524309,-0.878088243,-30.5500265,17.23493644,0.005334272,181.8761419,59.8325478,2.018431503,0.042327848,41.47810988,187.4670185,25.0648163
cs4,cs4l,cs,low,25,10,8.945112919,14.92267719,57.82308111,0.027990453,44.39264907,577.5271777,-0.743830166,-29.86159889,17.88851184,0.011544359,260.2542665,47.2358791,1.459935015,0.036907495,52.27606555,86.62239089,30.4197854
cs2,cs2l,cs,low,25,10,10.75989651,11.37025598,44.05116867,0.035616948,67.68103091,386.9182658,-1.012508655,-31.0330387,20.79393069,0.008089888,277.6619613,44.7633948,2.436307537,0.041888811,79.76739119,123.6111111,21.2700608
cs3,cs3l,cs,low,25,10,10.84944808,16.69518206,50.46098674,0.053933681,47.13467008,356.6848754,-0.989916271,-29.01086576,19.4384846,0.00668626,262.2971236,78.3216006,3.147502356,0.044673923,51.55351896,149.5604396,41.0236665
cs6,cs6h,cs,high,32,14,6.750783188,16.01579894,20.23255578,0.046758298,68.11378435,410.6369201,-1.282953526,-30.67609905,29.94854771,0.009276995,220.3524726,70.328922,1.473417006,0.035455063,49.38796654,107.7935223,23.716019
cs11,cs11h,cs,high,32,14,7.539024879,17.63282367,49.25691353,0.035302107,68.15457483,567.6381829,-0.908134801,-30.22550807,20.63182272,0.007063028,278.1878568,68.9797252,3.28158564,0.029271397,32.52673786,141.5823367,19.6321526
cs3,cs3h,cs,high,32,14,7.549938878,12.02904953,40.59371978,0.032940053,49.46487549,414.6449036,-0.572023776,-31.30363854,15.9769518,0.007240664,219.0730473,43.133115,2.353561874,0.03717422,44.30364177,138.1088825,15.7981046
cs4,cs4h,cs,high,32,14,7.629259636,18.18150005,44.61772075,0.06102834,50.55172899,348.4706956,-0.857542373,-31.20334515,18.63108209,0.005005066,228.0207745,66.022219,2.252966822,0.036435698,67.65778918,199.7975709,29.26877
cs7,cs7h,cs,high,32,14,9.383306081,22.40183558,47.820929,0.038562896,53.23867343,634.1555121,-0.651302141,-30.18339049,20.90058587,0.004561884,294.220367,80.762997,2.574955267,0.034330871,79.88071918,219.2076831,31.9695113
cs22,cs22h,cs,high,32,14,9.847370337,20.07970532,51.9996924,0.037606111,52.05671732,586.0046503,-0.976925623,-28.37710691,18.0240471,0.006410256,234.1053435,46.219615,3.237888588,0.045572525,47.44418256,156,14.020123
cs6,cs6m,cs,med,32,14,5.280970697,13.60914955,48.25885639,0.032483858,87.78335586,506.734508,-1.225451008,-31.00380088,23.35512402,0.009149039,161.2411244,50.1498426,2.26888797,0.038299542,19.77203009,116.4304778,12.8439908
cs11,cs11m,cs,med,32,14,5.56168651,12.93896742,43.73080739,0.063698144,68.77036233,271.8997886,-0.761902439,-31.01718666,14.47198977,0.006361829,185.9400771,49.5072034,1.928174535,0.032435695,49.69712381,157.1875,17.5780821
cs4,cs4m,cs,med,32,14,5.61375741,12.82227331,44.49040208,0.089629176,58.06704378,201.1261892,-0.423434079,-31.08123372,19.21159991,0.011720588,131.3267726,48.888595,2.078762731,0.050071344,41.35306672,85.31994981,20.615601
cs22,cs22m,cs,med,32,14,6.604775318,20.44065239,46.96797008,0.0399841,71.40416253,582.6236822,-1.418132676,-29.01774001,27.9096018,0.0093647,237.418139,76.7794695,2.586298537,0.031525089,37.6570795,106.7839837,27.0446851
cs3,cs3m,cs,med,32,14,7.347957719,13.93485339,42.77237697,0.051039266,72.60976444,345.6319792,-0.607617042,-30.54398993,14.09818664,0.009149039,264.7007442,51.4483959,2.053456253,0.02932116,50.93488169,116.4304778,17.6354192
cs7,cs7l,cs,low,32,14,4.061964783,18.47839878,45.67617363,0.044618035,59.34827941,473.4946844,-1.302162182,-29.00110393,28.9455045,0.008276398,141.7632999,65.05223703,1.751079273,0.036004646,28.02779967,120.8255159,21.57468066
cs3,cs3l,cs,low,32,14,4.534487392,11.14867313,40.69743056,0.026309265,79.69416868,503.4488161,0.699430924,-30.14864588,23.62952374,0.011091997,164.5345293,40.893663,2.515095572,0.039218066,21.35703535,90.15509103,17.3099113
cs11,cs11l,cs,low,32,14,4.691682492,12.54423095,43.83292548,0.107417768,59.66772246,176.4475739,-0.918746334,-30.82431584,20.50214721,0.006283841,143.7132459,48.65318,2.973258873,0.038078408,21.61973168,159.1383373,15.1651702
cs6,cs6l,cs,low,32,14,4.828922457,12.68220526,41.08926853,0.037415918,69.90767967,408.8598137,0.194091309,-29.60237034,21.85753015,0.009965197,172.1249391,45.277297,1.854593916,0.040289206,26.12856164,100.3492433,20.870828
cs22,cs22l,cs,low,32,14,6.068216579,10.67698075,44.04324431,0.051535388,68.80285573,275.9805086,-0.988065087,-30.90582128,19.88669167,0.007235174,166.7349554,37.7211629,1.91408748,0.041323039,36.73513167,138.21368,9.3488916
cs4,cs4l,cs,low,32,14,7.494714716,17.73396719,54.59798534,0.054490511,53.47246598,378.9230254,-1.300599047,-30.66963722,25.18375156,0.008925159,205.9266161,63.2176678,2.117959815,0.041466172,56.26632753,112.0428189,30.1230664
cs7,cs7h,cs,high,32,10,4.329564963,21.79280191,36.22497402,0.056114209,107.3844083,495.7495337,-1.242096503,-29.66510455,34.78633591,0.007941364,180.472111,95.08026,1.986661764,0.029718515,27.44259829,125.9229535,31.390282
cs6,cs6h,cs,high,32,10,5.193809149,21.54565176,52.43519848,0.096609076,148.6059895,371.6249091,-1.093831972,-28.74313689,35.07777688,0.01060652,220.7026933,51.126659,2.934183498,0.027980129,16.68882643,94.28162974,24.163425
cs4,cs4h,cs,high,32,10,5.373661388,20.68267069,49.25482973,0.089279746,95.00166454,326.6630608,-0.999951256,-29.4080882,28.31150442,0.007391484,222.9150153,91.195179,3.184724167,0.027613384,28.17582875,135.2908277,38.855448
cs22,cs22h,cs,high,32,10,6.218329154,16.31374237,46.82779364,0.059995114,107.2367869,379.1546372,-1.249409394,-28.70178944,31.84876463,0.006352262,229.8942014,73.214781,2.863770308,0.031398498,34.18276087,157.4242424,30.062897
cs11,cs11h,cs,high,32,10,7.086915626,18.30779947,48.79764456,0.09984292,97.24820525,280.6142308,-1.105184887,-29.73074658,32.32347981,0.006389357,275.3276292,79.580739,2.603910985,0.029163764,42.59650355,156.5102639,29.385184
cs3,cs3h,cs,high,32,10,8.168148408,19.72853324,44.80755082,0.080368213,111.0954109,370.7612743,-0.873397201,-29.94643258,13.63764542,0.005988551,232.8103198,105.491947,2.537327566,0.037268097,43.55273533,166.9852941,17.863348
cs6,cs6m,cs,med,32,10,3.732311026,13.01123912,45.87347673,0.025013111,133.044346,653.2211162,-1.116744288,-30.18497582,35.1047781,0.011771978,185.8743341,51.64258,1.803937191,0.024755071,22.40695709,84.94749125,13.055708
cs3,cs3m,cs,med,32,10,4.725179247,11.42297861,45.20034568,0.045046855,104.7810704,358.3610053,-0.69197377,-29.66994264,22.22551193,0.007025316,187.3901104,48.708395,2.050372337,0.028608911,30.50707133,142.3423423,16.947411
cs4,cs4m,cs,med,32,10,6.559180697,19.73468622,47.49476679,0.052859733,109.9426043,483.283241,-1.252362028,-29.18937556,26.16090101,0.006530418,199.1028999,86.142691,2.102755244,0.037927055,32.79076645,153.1295488,30.842088
cs11,cs11m,cs,med,32,10,6.627793182,11.45457592,43.64402516,0.007396578,169.7102289,1718.342058,-1.314615449,-30.95138004,30.30190929,0.004280719,267.8464427,41.5276813,2.243428203,0.027901266,37.63491369,233.6056009,12.9960456
cs7,cs7m,cs,med,32,10,7.446869979,20.35770218,50.82855107,0.053643514,68.78411051,448.2838998,-1.337720582,-29.1638305,49.28862777,0.009167722,221.3375197,80.2651355,2.641763051,0.017562947,33.80047382,109.0783569,25.753184
cs22,cs22m,cs,med,32,10,7.799080229,22.45734821,49.29073323,0.0755375,48.25120535,345.5518598,-0.405848852,-28.65353513,18.70702536,0.003906752,266.4738114,77.829472,3.070364457,0.031477505,27.12436479,255.9670782,29.8347636
cs7,cs7l,cs,low,32,10,3.936699953,10.28316143,44.47264226,0.016189146,47.77620392,497.4583812,-1.654920116,-30.41649151,55.63181332,0.011177819,191.1463336,36.5476101,1.873932597,0.029050023,35.33716555,89.46289463,9.207749
cs3,cs3l,cs,low,32,10,3.975940827,10.57894671,42.68035487,0.03014196,62.34724825,413.3180125,-0.211125296,-30.5112195,9.606587351,0.008441755,174.4349009,33.8091317,1.948961049,0.02412171,24.18109582,118.4587814,12.228817
cs11,cs11l,cs,low,32,10,4.306479367,10.09512863,44.21507377,0.004592295,83.88664112,489.9749063,-2.681017926,-30.72601469,29.40219755,0.00637931,204.6938292,34.3874296,2.040497939,0.034656916,33.58621212,156.7567568,15.4634295
cs4,cs4l,cs,low,32,10,5.50823416,18.35968891,46.2057418,0.026991849,97.51365412,777.7074752,-1.442774319,-29.94421294,36.2359518,0.006289105,259.2318787,71.4620897,1.565142403,0.024701053,29.8613598,159.0051458,26.2398684
cs22,cs22l,cs,low,32,10,6.793688637,14.26297453,43.94903502,0.037686396,93.58383773,472.0486454,-1.756268706,-30.97172061,28.4596534,0.004619289,162.342087,44.2307563,2.096593324,0.050743689,44.78602009,216.4835165,17.8844356
cs6,cs6l,cs,low,32,10,7.009919018,12.23515696,45.31300583,0.048525051,82.10182437,334.2428667,-1.671378111,-29.92928983,43.30659763,0.009214055,222.7664501,44.580849,1.718468268,0.03906121,44.27113991,108.5298545,20.718257
pa15,pa15h,pa,high,25,14,10.8,27.7,48.15273749,0.091703576,45.66872891,347.7289235,-0.66,-28.46516527,7.250755287,0.003608769,170.3927492,135.1001375,5.339861015,0.0662,56.04472236,277.1028037,58.56256177
pa7,pa7h,pa,high,25,14,10.98087379,24.23052877,48.64607069,0.086905441,52.24488379,331.0597485,-0.703468828,-29.46712479,9.990026962,0.00278481,341.6925475,110.2175051,3.148964064,0.033104584,101.1686951,359.0909091,59.52659165
pa14,pa14h,pa,high,25,14,13.00513798,22.06232488,45.49655176,0.072916491,52.67560178,355.245356,-0.535038467,-28.59552546,7.912909467,0.00338,302.3618739,89.9247782,4.811910077,0.044167715,77.34830313,295.8579882,41.2294485
pa6,pa6h,pa,high,25,14,14.9,26.3,47.86633626,0.068269186,42.89230991,428.1320005,-0.234,-29.20141293,4.600052798,0.002777778,250.4421859,121.5827532,5.842495859,0.060608,91.81007791,360,62.0631338
pa,pah,pa,high,25,14,15.6,30.2,49.3200251,0.075409419,44.69000969,445.1704852,-0.867,-26.79104151,8.752860412,0.002990105,216.2990261,148.1237864,5.340969284,0.075164,81.88938364,334.4364012,69.4071543
pa5,pa5h,pa,high,25,14,15.9,25.7,49.21789753,0.058705108,43.24695861,481.0282828,-1.17,-28.41078237,19.32164387,0.002824276,276.9867764,119.3865616,5.478001747,0.061708,104.2267914,354.0730337,52.9458715
pa7,pa7m,pa,med,25,14,8.33,26.7,46.1780817,0.068713785,45.62616726,434.1944865,-0.136,-29.25737298,1.032931849,0.002869416,159.7842659,129.3954741,4.7627477,0.052472,60.95283905,348.502994,57.3363365
pa6,pa6m,pa,med,25,14,11.1,23.8,49.33907189,0.057671287,43.77924284,456.462942,-0.863,-29.2250896,10.94436751,0.002421669,178.0224577,108.1431989,4.260560958,0.066436,73.99562867,412.9383313,43.45870746
pa14,pa14m,pa,med,25,14,11.8,23.4,49.668072,0.060703472,45.3412648,430.8216891,-0.548,-27.75881165,12.59063023,0.004199726,177.119353,102.1033978,4.453506224,0.07172,72.48621339,238.1107492,107.0818024
pa5,pa5m,pa,med,25,14,11.82030021,22.55884016,49.62709203,0.151370726,41.43559014,147.9823652,-0.547123631,-27.45601709,8.088675381,0.003478098,227.4867687,109.133777,3.883927014,0.053876039,94.6388741,287.5134553,51.864488
pa,pam,pa,med,25,14,12.4,23.1,48.01504395,0.067324914,49.39348568,392.5056958,-0.793,-27.88189336,9.448072774,0.004651962,190.2166307,64.5256547,5.064995355,0.068596,69.56953924,214.9630542,26.6695141
pa6,pa6m,pa,med,25,14,12.4,23.1,50.01975842,0.067324914,49.39348568,392.5056958,-0.793,-27.52921436,9.448072774,0.004651962,190.2166307,108.2373926,2.097230658,0.068596,134.7760244,214.9630542,124.9026482
pa7,pa7l,pa,low,25,14,8.63,18.4,46.90862236,0.044542969,49.25071172,462.334986,-0.154,-28.75929753,2.034148398,0.004052453,153.6291456,82.6610155,4.191933871,0.056928,50.80171058,246.7640919,37.0538692
pa14,pa14l,pa,low,25,14,8.82,18.2,45.15383878,0.038452268,45.7054159,519.0194939,-0.617,-28.20508939,11.36863654,0.004199005,168.0036014,82.4642405,3.421114748,0.015744,93.21997058,238.1516588,36.5075662
pa15,pa15l,pa,low,25,14,9.87,20.2,46.89546245,0.05798356,48.29791192,396.6725179,-0.737,-27.97292219,8.57324803,0.004183246,154.7434986,91.5426111,6.369733633,0.067524,35.896756,239.048811,42.3337226
pa,pal,pa,low,25,14,9.95,20.8,47.45875745,0.060684501,61.60959334,390.5475454,-0.858,-27.98469531,9.439536827,0.003511269,157.9115435,87.0913078,4.762324897,0.067016,49.65702295,284.7972973,44.9527271
pa6,pa6l,pa,low,25,14,11.58831081,20.1456088,47.19739041,0.053443687,43.74569853,420.6959012,-0.97271835,-28.21678193,22.38084018,0.00271938,192.4701152,96.330679,4.553464639,0.068130756,60.32609781,367.7309008,47.080514
pa5,pa5l,pa,low,25,14,11.7455276,20.8,49.57027102,0.060684501,133.2643363,390.5475454,-1.129663895,-28.16190522,14.41540925,0.003361027,197.6274736,95.52730793,4.022216046,0.06410892,72.05502893,297.5280899,49.43738199
pa6,pa6h,pa,high,25,10,12.29394462,23.29753768,46.71271943,0.070110685,48.84309284,381.1396264,-0.746636467,-27.82259189,10.85058548,0.00247992,247.018997,107.8525663,4.479014746,0.052055838,110.6805084,403.2388664,56.6335949
