genotype,spp,nTreatment,temp,phoper,aamb,Rd,jmax,Nitrogen,netqe,vcmax
pa14,pa,low,25,14,8.82,-0.617,82.4642405,3.421114748,0.015744,36.5075662
pa15,pa,low,25,14,9.87,-0.737,91.5426111,6.369733633,0.067524,42.3337226
pa,pa,low,25,14,9.95,-0.858,87.0913078,4.762324897,0.067016,44.9527271
pa6,pa,low,25,14,11.58831081,-0.97271835,96.330679,4.553464639,0.068130756,47.080514
pa5,pa,low,25,14,11.7455276,-1.129663895,95.52730793,4.022216046,0.06410892,49.43738199
pa7,pa,low,25,10,9.810914987,-0.292234539,56.0291089,2.2496732,0.047935439,25.2829468
pa,pa,low,25,10,10.15917161,-0.765199387,84.0877634,2.070980708,0.050792146,41.6550468
pa14,pa,high,32,14,10.32600478,-1.186364201,102.461102,4.167296427,0.05888814,33.512452
pa7,pa,high,32,14,10.47652073,-1.430394373,109.791631,3.598407962,0.063488485,38.1527644
pa5,pa,high,32,14,10.6364037,-1.898622035,120.269483,3.495961161,0.055807908,42.484173
pa6,pa,high,32,14,10.94560376,-0.622640983,60.7517201,4.485603591,0.05207069,23.2556744
pa15,pa,high,32,14,11.6828437,-1.070141359,132.6592,1.82094269,0.065174598,44.44427
pa,pa,high,32,14,11.88727972,-1.350368156,109.6205189,3.872454186,0.053178289,38.62582748
pa,pa,med,32,14,6.597629141,-0.663529321,57.1021504,1.706500824,0.0551334,19.0521339
pa6,pa,med,32,14,7.647089381,-1.165888669,74.5515278,2.3958178,0.055637515,22.2260383
pa14,pa,med,32,14,8.320534638,-1.037681357,69.986326,2.210392374,0.053103231,24.5943258
pa15,pa,med,32,14,8.813724563,-1.327557322,67.1827285,2.11849553,0.059164311,21.8502428
pa7,pa,med,32,14,10.44263571,-1.028019178,73.8525784,2.828702455,0.061896775,26.3425428
pa5,pa,med,32,14,10.46610514,-1.407005705,91.8804309,3.027276517,0.057426615,34.9644827
pa15,pa,low,32,14,5.140103756,-0.90520997,76.5340795,2.159405134,0.039628,22.6493038
pa,pa,low,32,14,5.542625879,-1.033370003,53.4564342,2.461487302,0.037691474,21.5411606
pa5,pa,low,32,14,7.077033516,-1.113087391,66.2437409,1.729289911,0.043490665,20.2154712
pa14,pa,low,32,14,8.082797847,-0.874258513,71.26653526,5.373525254,0.054821244,23.80619323
pa7,pa,low,32,14,8.724293591,-0.898773515,80.4051348,2.192813514,0.061428986,25.9316381
pa6,pa,low,32,14,8.772628321,-0.919900809,68.61348197,2.333509758,0.070444378,25.22548317
